X,26.2,Put,26,07/28/17,2,0.32,0.33,0.34,0.33,10754,160,67.21,77.59%,07/26/17
JD,45.87,Call,60,01/19/18,177,0.63,0.69,0.75,0.66,8598,170,50.58,32.28%,07/26/17
JBLU,22.07,Put,19,12/15/17,142,0.40,0.45,0.50,0.4,5041,106,47.56,30.38%,07/26/17
AMD,14.76,Put,15.5,07/28/17,2,0.79,0.81,0.83,0.8,9472,201,47.12,97.93%,07/26/17
EA,118,Put,100,07/28/17,2,0.09,0.16,0.22,0.23,5095,132,38.6,178.42%,07/26/17
DXC,80.06,Call,85,08/18/17,23,0.40,0.45,0.50,0.55,5253,152,34.56,24.99%,07/26/17
SNAP,13.4,Call,13.5,08/04/17,9,0.55,0.63,0.71,0.67,6574,217,30.29,85.33%,07/26/17
ANET,157.2,Call,165,08/18/17,23,3.10,3.75,4.40,3.87,3525,122,28.89,43.94%,07/26/17
MGM,33.87,Put,32,08/04/17,9,0.28,0.32,0.35,0.33,7147,248,28.82,50.46%,07/26/17
RAD,2.39,Call,2.5,09/15/17,51,0.21,0.22,0.22,0.21,6182,217,28.49,73.63%,07/26/17
DGX,108.22,Call,105,08/18/17,23,4.10,4.25,4.40,4.2,4151,150,27.67,21.37%,07/26/17
VZ,44.4,Call,45.5,08/18/17,23,0.31,0.35,0.39,0.38,3831,148,25.89,17.49%,07/26/17
ANET,157.2,Call,170,08/18/17,23,2.25,2.53,2.80,2.65,3813,164,23.25,44.67%,07/26/17
MA,130.99,Call,140,09/15/17,51,0.46,0.58,0.69,0.61,5120,221,23.17,16.21%,07/26/17
DUK,84.45,Put,60,01/18/19,541,1.00,1.15,1.30,1.15,4530,197,22.99,24.39%,07/26/17
SIRI,5.39,Call,5.5,12/15/17,142,0.30,0.33,0.35,0.33,37535,1648,22.78,27.26%,07/26/17
DAL,51.13,Put,50,07/28/17,2,0.07,0.09,0.11,0.12,4822,219,22.02,42.08%,07/26/17
JPM,91.93,Put,87.5,11/17/17,114,1.85,1.92,1.98,1.82,5050,236,21.4,19.24%,07/26/17
X,26.2,Put,27,07/28/17,2,0.91,0.97,1.03,0.97,2925,138,21.2,83.77%,07/26/17
CLF,7.73,Put,6.5,08/18/17,23,0.09,0.11,0.12,0.09,5013,237,21.15,71.46%,07/26/17
F,11.06,Call,11,08/04/17,9,0.16,0.17,0.18,0.18,3583,170,21.08,20.94%,07/26/17
MA,130.99,Call,133,07/28/17,2,0.96,1.02,1.07,1.04,2217,106,20.92,67.03%,07/26/17
