Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
HUN,25.13,Put,21,11/17/17,98,0.25,0.3,0.35,0.3,28701,205,140,33.65%,08/10/17
BA,232.88,Call,160,01/19/18,161,73.25,74.25,75.25,79.09,9030,105,86,32.64%,08/10/17
HUN,25.13,Call,24,11/17/17,98,2.05,2.13,2.20,2.18,28713,402,71.43,28.77%,08/10/17
MELI,232.64,Call,250,12/15/17,126,15.90,16.75,17.60,18.8,6915,136,50.85,42.99%,08/10/17
SEAS,12.68,Put,20,09/15/17,35,7.20,7.4,7.60,7.81,5500,121,45.45,92.09%,08/10/17
KSS,39.5,Call,37.5,09/15/17,35,2.85,2.93,3.00,2.89,6978,158,44.16,36.71%,08/10/17
ZOES,11.7,Put,10,12/15/17,126,1.00,1.05,1.10,1.03,9115,231,39.46,71.24%,08/10/17
AAPL,155.32,Call,110,11/17/17,98,45.65,46.13,46.60,50.95,4109,133,30.89,40.01%,08/10/17
WFM,41.83,Put,43,01/19/18,161,1.05,1.3,1.55,1.45,6617,233,28.4,6.31%,08/10/17
ADBE,144.92,Put,140,11/17/17,98,5.40,5.53,5.65,5.53,3971,146,27.2,27.00%,08/10/17
COL,125.75,Call,140,08/18/17,7,0.20,0.4,0.60,0.45,4062,155,26.21,60.78%,08/10/17
T,38.19,Put,44,08/18/17,7,5.55,5.7,5.85,4.7,11000,478,23.01,0.00%,08/10/17
AAPL,155.32,Call,157.5,08/11/17,0,0.29,0.3,0.30,0.29,47753,2327,20.52,31.86%,08/10/17
VSTO,21.86,Put,25,11/17/17,98,3.80,4,4.20,4,2148,107,20.07,44.19%,08/10/17
IBN,8.79,Call,9,09/15/17,35,0.16,0.18,0.19,0.18,2626,135,19.45,24.35%,08/10/17
IBM,141.84,Call,140,10/20/17,70,5.85,5.93,6.00,5.75,3128,162,19.31,19.65%,08/10/17
CCL,67.38,Put,65,09/15/17,35,0.80,0.9,1.00,0.9,2566,148,17.34,23.26%,08/10/17
AAPL,155.32,Call,75,01/19/18,161,80.05,80.65,81.25,85.7,24800,1447,17.14,0.00%,08/10/17
ADBE,144.92,Put,135,11/17/17,98,3.85,3.98,4.10,3.98,4109,240,17.12,28.21%,08/10/17
AAPL,155.32,Call,55,01/19/18,161,99.95,100.53,101.10,105.8,18800,1127,16.68,0.00%,08/10/17
TPX,59.22,Put,60,01/19/18,161,6.40,6.7,7.00,6.6,2001,121,16.54,41.12%,08/10/17
AAPL,155.32,Call,70,01/19/18,161,85.00,85.5,86.00,90.76,23141,1438,16.09,0.00%,08/10/17
AAPL,155.32,Call,70,01/18/19,525,84.25,85.7,87.15,90.4,3901,249,15.67,0.00%,08/10/17
GLUU,3.02,Call,3.5,01/19/18,161,0.20,0.25,0.30,0.25,4999,333,15.01,52.04%,08/10/17
AAPL,155.32,Call,65,01/19/18,161,90.00,90.58,91.15,95.75,7000,469,14.93,0.00%,08/10/17
RTN,177.62,Call,190,09/15/17,35,0.70,0.72,0.73,0.78,2904,196,14.82,19.41%,08/10/17
NFLX,169.14,Call,167.5,08/11/17,0,2.53,2.63,2.73,2.59,1485,101,14.7,47.84%,08/10/17
NFLX,169.14,Call,170,08/11/17,0,1.07,1.12,1.16,1.16,6791,468,14.51,42.48%,08/10/17
XPO,54.99,Put,55,09/15/17,35,2.20,2.35,2.50,2.11,2525,180,14.03,35.44%,08/10/17
THC,13.39,Put,10,02/16/18,189,0.90,0.93,0.95,0.9,2225,160,13.91,68.14%,08/10/17
SEAS,12.68,Call,20,09/15/17,35,0.00,0.05,0.05,0.01,5500,408,13.48,72.22%,08/10/17
CAT,113.15,Put,108,09/01/17,21,0.64,0.75,0.86,0.75,1516,113,13.42,24.74%,08/10/17
SNAP,13.77,Put,7,09/15/17,35,0.00,0.13,0.13,0.07,4370,333,13.12,128.56%,08/10/17
FDX,203.55,Put,190,09/01/17,21,0.71,0.83,0.94,0.66,1559,119,13.1,26.70%,08/10/17
SYMC,27.84,Put,25,10/20/17,70,0.38,0.45,0.51,0.38,1384,110,12.58,31.84%,08/10/17
SYF,29.32,Call,30.5,08/18/17,7,0.05,0.1,0.15,0.1,3010,242,12.44,30.87%,08/10/17
