Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
BA,234.88,Call,160,01/19/18,160,75.70,76.38,77.05,79.09,9030,105,86,34.49%,08/11/17
MET,46.81,Put,40,01/19/18,160,0.86,0.91,0.95,0.86,5061,107,47.3,28.87%,08/11/17
WLL,4.79,Call,4.5,08/18/17,6,0.35,0.37,0.39,0.38,6245,139,44.93,87.88%,08/11/17
COST,156.65,Call,195,10/20/17,69,0.04,0.05,0.05,0.05,7550,200,37.75,21.08%,08/11/17
VRX,13.89,Put,12,09/15/17,34,0.28,0.29,0.30,0.3,10289,302,34.07,61.66%,08/11/17
LB,40.88,Put,35,08/18/17,6,0.05,0.08,0.10,0.05,33982,1010,33.65,80.82%,08/11/17
GE,25.2,Put,27,09/01/17,20,1.75,1.81,1.87,1.79,3510,105,33.43,18.49%,08/11/17
WFM,41.75,Put,43,01/19/18,160,1.25,1.4,1.55,1.45,6617,233,28.4,6.77%,08/11/17
AMAT,43.08,Put,39,10/20/17,69,1.03,1.07,1.11,1.06,17471,658,26.55,37.52%,08/11/17
CSIQ,17.2,Call,19,09/15/17,34,0.50,0.65,0.80,0.42,5020,218,23.03,62.79%,08/11/17
T,38.1,Put,44,08/18/17,6,5.80,5.88,5.95,4.7,11000,478,23.01,0.00%,08/11/17
JCP,3.93,Call,4,09/15/17,34,0.26,0.29,0.31,0.25,3783,167,22.65,66.81%,08/11/17
CSIQ,17.2,Call,18,09/15/17,34,0.85,0.95,1.05,0.9,5069,237,21.39,61.92%,08/11/17
NFX,25.92,Call,26,09/15/17,34,1.15,1.23,1.30,1.3,5099,242,21.07,40.28%,08/11/17
NCLH,56.77,Call,57.5,09/15/17,34,1.65,1.68,1.70,1.65,11886,565,21.04,29.14%,08/11/17
MU,28.01,Call,35,09/15/17,34,0.10,0.12,0.13,0.13,12568,608,20.67,47.44%,08/11/17
CSX,50.27,Put,48,08/25/17,13,0.32,0.37,0.41,0.42,2282,123,18.55,32.92%,08/11/17
DVN,31.61,Call,31.5,08/18/17,6,0.64,0.68,0.71,0.66,2299,131,17.55,41.82%,08/11/17
AAPL,157.48,Call,75,01/19/18,160,82.15,82.78,83.40,85.7,24800,1447,17.14,0.00%,08/11/17
MDLZ,43.59,Put,46,01/19/18,160,3.90,4.03,4.15,4.14,2000,119,16.81,23.68%,08/11/17
AAPL,157.48,Call,55,01/19/18,160,102.10,102.7,103.30,105.8,18800,1127,16.68,0.00%,08/11/17
PAA,20.4,Put,20,09/15/17,34,0.50,0.58,0.65,0.58,10466,663,15.79,31.64%,08/11/17
AAPL,157.48,Call,70,01/18/19,524,86.30,87.75,89.20,90.4,3901,249,15.67,0.00%,08/11/17
NVDA,155.96,Call,157.5,08/18/17,6,2.95,3,3.05,3.02,6119,401,15.26,50.70%,08/11/17
AAPL,157.48,Call,65,01/19/18,160,92.15,92.78,93.40,95.75,7000,467,14.99,43.96%,08/11/17
FFIV,117.82,Call,119,08/18/17,6,0.97,1.1,1.22,1.07,1627,116,14.03,29.13%,08/11/17
SNAP,11.83,Put,7,08/18/17,6,0.00,0.02,0.02,0.01,1327,101,13.14,202.33%,08/11/17
JD,45.9,Put,42,03/16/18,216,3.05,3.58,4.10,3.5,1510,115,13.13,40.42%,08/11/17
MU,28.01,Put,27.5,09/01/17,20,0.81,0.83,0.85,0.87,2559,202,12.67,42.46%,08/11/17
AMZN,967.99,Call,972.5,08/11/17,1,0.02,0.06,0.10,0.05,4984,430,11.59,0.00%,08/11/17
AMZN,967.99,Call,967.5,08/11/17,1,0.85,1.12,1.38,0.85,3806,334,11.4,0.00%,08/11/17
